Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (seconds) from scheduled to completion time,Duration (seconds) from first response to completion time,[3_CAL] Geboortedatum:,[4_SAQ] Geslacht:
61302,54d7fa084b1c8281,2022-10-19 16:37:42 CEST,2022-10-19 16:37:42 CEST,2022-10-19 16:42:33 CEST,291.133,62,09/12/1994,2
61307,2753b4230dddd405,2022-10-19 17:10:37 CEST,2022-10-19 17:10:37 CEST,2022-10-19 17:14:21 CEST,223.897,64,23/02/1990,2
61309,49AC853875334DE392ED034E4EC95116,2022-10-19 17:43:32 CEST,2022-10-19 17:43:32 CEST,2022-10-19 17:46:04 CEST,152.119,59,13/12/1996,2
61315,19ab04612458a479,2022-10-19 18:26:40 CEST,2022-10-19 18:26:40 CEST,2022-10-19 18:29:44 CEST,183.252,91,12/03/1996,1
61320,ccafb2d14a02e4a4,2022-10-19 20:26:39 CEST,2022-10-19 20:26:39 CEST,2022-10-19 20:32:28 CEST,348.415,110,06/07/1989,1
61330,EE35409B5399417E98432083504AE990,2022-10-20 13:57:24 AEDT,2022-10-20 13:57:24 AEDT,2022-10-20 14:02:03 AEDT,278.991,79,16/02/1996,1
61342,0c615708af96ccec,2022-10-20 12:57:20 CEST,2022-10-20 12:57:20 CEST,2022-10-20 13:04:23 CEST,422.979,91,05/09/1995,2
61343,f0ce895e72c73135,2022-10-20 13:08:55 CEST,2022-10-20 13:08:55 CEST,2022-10-20 13:15:29 CEST,393.785,60,12/09/1995,2
61345,82C8C4ECC7B5496583E1F715E6556D0A,2022-10-20 13:13:21 CEST,2022-10-20 13:13:21 CEST,2022-10-20 13:19:11 CEST,349.716,68,08/09/1996,1
61346,0c2f7dbe4cacbfc0,2022-10-20 13:36:30 CEST,2022-10-20 13:36:30 CEST,2022-10-20 13:41:41 CEST,311.799,42,22/02/1992,1
61348,582E5DE7B25A49818BC89BF7C8D03600,2022-10-20 13:59:13 CEST,2022-10-20 13:59:13 CEST,2022-10-20 14:05:06 CEST,353.818,86,15/10/1993,2
61349,26BE95C432484BE0A819201BD306E1A1,2022-10-20 14:03:39 CEST,2022-10-20 14:03:39 CEST,2022-10-20 14:08:42 CEST,303.497,73,25/02/1989,2
61351,343b46b8dda822d9,2022-10-20 15:18:10 CEST,2022-10-20 15:18:10 CEST,2022-10-20 15:20:19 CEST,128.797,36,31/05/1995,2
61353,8ed0358ebe996772,2022-10-20 15:40:50 CEST,2022-10-20 15:40:50 CEST,2022-10-20 15:47:27 CEST,397.639,52,15/10/1996,2
61355,D75A9928BFC84ED5BA76F360A30EE003,2022-10-20 16:39:52 CEST,2022-10-20 16:39:52 CEST,2022-10-20 16:43:32 CEST,219.666,50,22/04/1988,2
61358,c7de6fb4333d1279,2022-10-20 17:10:12 CEST,2022-10-20 17:10:12 CEST,2022-10-20 17:17:13 CEST,421.245,97,15/10/1993,2
61362,73FD7D76440945C08CB9F4A777AFCC33,2022-10-20 19:09:11 CEST,2022-10-20 19:09:11 CEST,2022-10-20 19:13:08 CEST,236.998,170,05/11/1987,1
61364,7ba598580e3ee758,2022-10-20 19:34:13 CEST,2022-10-20 19:34:13 CEST,2022-10-20 19:36:26 CEST,132.324,65,28/12/1992,2
61411,07485524843444DF8744EEBCB3FD0F69,2022-10-21 08:21:55 CEST,2022-10-21 08:21:55 CEST,2022-10-21 08:28:32 CEST,397.05,52,18/09/1987,2
61414,757B186B8C32439BA6B9323F51C5E490,2022-10-21 09:29:06 CEST,2022-10-21 09:29:06 CEST,2022-10-21 09:31:26 CEST,139.699,68,18/05/1985,2
61417,5f52bf66fa46e250,2022-10-21 10:23:13 CEST,2022-10-21 10:23:13 CEST,2022-10-21 10:25:51 CEST,157.945,84,09/12/1987,2
61418,141f4ef804b6a898,2022-10-21 10:24:29 CEST,2022-10-21 10:24:29 CEST,2022-10-21 10:29:09 CEST,280.017,66,22/04/1988,2
61424,b0d9df3d49b76a68,2022-10-21 10:45:55 CEST,2022-10-21 10:45:55 CEST,2022-10-21 10:47:54 CEST,119.176,70,25/11/1987,2
61430,99a4389e4b3000e2,2022-10-21 10:59:30 CEST,2022-10-21 10:59:30 CEST,2022-10-21 11:06:38 CEST,428.393,58,16/12/2016,2
61434,78a58c1f872dc95d,2022-10-21 11:30:40 CEST,2022-10-21 11:30:40 CEST,2022-10-21 11:36:51 CEST,370.928,61,02/11/1995,2
61436,07789BEA5AAD41FC9D5547F7C75151FF,2022-10-21 11:42:15 CEST,2022-10-21 11:42:15 CEST,2022-10-21 11:43:55 CEST,99.653,53,23/09/1994,2
61437,b9b49078fb5f33df,2022-10-21 11:47:03 CEST,2022-10-21 11:47:03 CEST,2022-10-21 11:49:27 CEST,144.316,74,14/12/1993,1
61438,d04875ad0a1a41ce,2022-10-21 11:58:57 CEST,2022-10-21 11:58:57 CEST,2022-10-21 12:02:17 CEST,199.87,70,06/06/1995,2
61443,6e73a8a5ae38e1c7,2022-10-21 12:33:07 CEST,2022-10-21 12:33:07 CEST,2022-10-21 12:36:26 CEST,199.219,64,26/06/1995,2
61444,68EF9E4902204E4282B253DEE610339C,2022-10-21 12:35:27 CEST,2022-10-21 12:35:27 CEST,2022-10-21 12:37:35 CEST,128.524,52,22/09/1994,1
61445,EE57DB1090BC45DFA11686BD79BD3E22,2022-10-21 12:47:32 CEST,2022-10-21 12:47:32 CEST,2022-10-21 12:53:22 CEST,350.046,76,02/11/1995,2
61447,11AAB2689407430784ADABB32FAD055B,2022-10-21 13:05:20 CEST,2022-10-21 13:05:20 CEST,2022-10-21 13:09:14 CEST,234.7,62,15/04/1994,1
61450,43b6c93c0ef70443,2022-10-21 13:32:31 CEST,2022-10-21 13:32:31 CEST,2022-10-21 13:40:05 CEST,453.839,60,06/10/1995,2
61459,b058da0c4ac9de42,2022-10-21 14:40:43 CEST,2022-10-21 14:40:43 CEST,2022-10-21 14:45:16 CEST,272.846,43,26/07/1994,2
61462,466a2727971560f8,2022-10-21 15:33:50 CEST,2022-10-21 15:33:50 CEST,2022-10-21 15:42:19 CEST,508.654,90,26/04/1989,2
61466,DD01F3A2F332485FBA7FA15C647A84D8,2022-10-21 16:39:28 CEST,2022-10-21 16:39:28 CEST,2022-10-21 16:42:48 CEST,200.13,69,08/09/1996,1
61474,8e8233d52c546d6c,2022-10-21 19:12:29 CEST,2022-10-21 19:12:29 CEST,2022-10-21 19:14:21 CEST,112.208,54,16/02/1994,2
61477,6386228E5D464955871DB080D2230F64,2022-10-21 20:04:47 CEST,2022-10-21 20:04:47 CEST,2022-10-21 20:12:15 CEST,448.349,59,04/07/1996,1
61478,1a718263708deadb,2022-10-21 20:10:57 CEST,2022-10-21 20:10:57 CEST,2022-10-21 20:12:56 CEST,119.406,65,21/10/2022,2
61480,09D9F4B99F9D40B9927909076C93EC64,2022-10-21 20:41:34 CEST,2022-10-21 20:41:34 CEST,2022-10-21 20:44:47 CEST,192.079,71,06/10/1989,1
61483,1c2d8d38410f8046,2022-10-21 23:05:29 CEST,2022-10-21 23:05:29 CEST,2022-10-21 23:07:50 CEST,140.583,83,21/10/2022,2
61486,548A5A17C59145F6A0BFDFC427995F45,2022-10-22 09:33:23 WITA,2022-10-22 09:33:23 WITA,2022-10-22 09:40:07 WITA,403.252,68,06/11/1995,1
61502,30d7f5dc6eef59da,2022-10-22 07:32:20 CEST,2022-10-22 07:32:20 CEST,2022-10-22 07:48:14 CEST,953.536,80,08/12/1992,2
61503,7f92a69f53443f6f,2022-10-22 07:38:21 CEST,2022-10-22 07:38:21 CEST,2022-10-22 07:41:56 CEST,215.081,66,27/05/1987,2
61508,8675DAFB07174235A40158B56E21307B,2022-10-22 09:43:58 CEST,2022-10-22 09:43:58 CEST,2022-10-22 09:54:44 CEST,645.458,110,24/05/1995,2
61510,1CEB6AD3B1B14ABFB32C1C35ED48A8F2,2022-10-22 10:37:12 CEST,2022-10-22 10:37:12 CEST,2022-10-22 10:56:04 CEST,1131.942,102,04/03/1996,2
61513,30378c333d515fc8,2022-10-22 11:17:23 CEST,2022-10-22 11:17:23 CEST,2022-10-22 11:27:59 CEST,636.101,103,24/05/1986,2
61517,BBC80982B383468C8EC0B4C43EA2B874,2022-10-22 12:57:50 CEST,2022-10-22 12:57:50 CEST,2022-10-22 13:00:52 CEST,181.998,57,13/10/1994,2
61519,01fa7767afd38fe3,2022-10-22 13:26:46 CEST,2022-10-22 13:26:46 CEST,2022-10-22 13:28:37 CEST,111.546,57,23/06/1988,1
61522,576574765bd20b11,2022-10-22 15:27:44 CEST,2022-10-22 15:27:44 CEST,2022-10-22 16:11:18 CEST,2614.326,62,13/05/1995,1
61528,2aa42feec3807501,2022-10-22 21:04:12 CEST,2022-10-22 21:04:12 CEST,2022-10-22 21:07:15 CEST,183.167,40,31/05/1995,2
61529,ccc21ac648160e2c,2022-10-22 23:10:31 CEST,2022-10-22 23:10:31 CEST,2022-10-22 23:17:58 CEST,447.397,45,18/09/1987,2
61541,028CD180B3DD41C686B22D1EBDBA6222,2022-10-23 12:07:42 CEST,2022-10-23 12:07:42 CEST,2022-10-23 12:12:46 CEST,304.05,75,16/02/1996,1
61543,3d40043b413bc901,2022-10-23 13:42:31 CEST,2022-10-23 13:42:31 CEST,2022-10-23 13:45:43 CEST,191.941,136,11/10/1994,2
61547,76bf0c09a14cdf53,2022-10-23 21:22:19 CEST,2022-10-23 21:22:19 CEST,2022-10-23 21:28:55 CEST,396.465,61,03/06/1985,2
61550,99e4dc1fcd8b17e5,2022-10-24 07:18:32 CEST,2022-10-24 07:18:32 CEST,2022-10-24 07:25:55 CEST,442.617,50,31/10/1995,2
61551,d1273e85ee15c187,2022-10-24 08:00:13 CEST,2022-10-24 08:00:13 CEST,2022-10-24 08:02:35 CEST,141.671,72,31/07/1995,2
61556,BC5AE4A7A0834F33AB553539A5886755,2022-10-24 12:06:36 CEST,2022-10-24 12:06:36 CEST,2022-10-24 12:08:07 CEST,90.545,53,09/07/1994,2
61562,2b2418306b6b94dd,2022-10-24 13:29:43 CEST,2022-10-24 13:29:43 CEST,2022-10-24 13:34:52 CEST,308.276,54,02/08/1993,1
61563,35c01aa8f5399679,2022-10-24 13:35:02 CEST,2022-10-24 13:35:02 CEST,2022-10-24 13:38:03 CEST,181.091,77,13/03/1992,2
61564,7EA293C99BF44ACD8E9F9C9991D38AEE,2022-10-24 14:20:48 CEST,2022-10-24 14:20:48 CEST,2022-10-24 14:26:21 CEST,332.688,52,27/04/1994,1
61569,1df3f8b88a487411,2022-10-24 16:08:45 CEST,2022-10-24 16:08:45 CEST,2022-10-24 16:10:52 CEST,127.405,70,19/07/1995,1
61570,FCCF0A9398A54C689188F552AFD677F3,2022-10-24 16:09:40 CEST,2022-10-24 16:09:40 CEST,2022-10-24 16:12:13 CEST,152.878,66,13/07/1993,1
61572,b34fdbce53529641,2022-10-24 17:04:01 CEST,2022-10-24 17:04:01 CEST,2022-10-24 17:09:59 CEST,357.164,54,06/06/1995,2
61573,e753938ff8d06a9e,2022-10-24 17:14:36 CEST,2022-10-24 17:14:36 CEST,2022-10-24 17:17:06 CEST,149.33,78,10/10/1995,2
61574,5e3879c6c1e0b6b4,2022-10-24 17:49:15 CEST,2022-10-24 17:49:15 CEST,2022-10-24 17:52:52 CEST,217.251,74,04/07/1995,2
61575,CD3D98FEE6874106A26B072876C1E546,2022-10-24 19:01:20 CEST,2022-10-24 19:01:20 CEST,2022-10-24 19:05:34 CEST,254.024,78,07/06/1995,2
61576,2B698E9110694EEBAA788A6B93812F60,2022-10-24 19:15:34 CEST,2022-10-24 19:15:34 CEST,2022-10-24 19:18:09 CEST,155.252,61,06/05/1993,1
61582,9884C0DD42D54B6E97573641B449AAF2,2022-10-24 21:30:50 CEST,2022-10-24 21:30:50 CEST,2022-10-24 21:33:00 CEST,130.658,53,27/05/1996,2
61583,b7e3fb4b4ad9d3a0,2022-10-24 21:37:45 CEST,2022-10-24 21:37:45 CEST,2022-10-24 21:41:33 CEST,228.1,87,27/05/1996,2
61584,31e014aca58734b2,2022-10-24 21:46:24 CEST,2022-10-24 21:46:24 CEST,2022-10-24 21:53:40 CEST,436.499,65,20/02/1995,2
61587,69C80EE91D97469C9DB6CE265DFA68FF,2022-10-24 23:07:02 CEST,2022-10-24 23:07:02 CEST,2022-10-24 23:17:17 CEST,615.189,72,27/10/1995,2
61594,cd78eb58731ec23e,2022-10-25 11:39:46 CEST,2022-10-25 11:39:46 CEST,2022-10-25 11:41:25 CEST,99.58,58,09/03/1990,1
61597,B6B22D533DBA4464A39BA787213878F3,2022-10-25 13:03:52 CEST,2022-10-25 13:03:52 CEST,2022-10-25 13:05:08 CEST,76.026,43,08/10/1987,2
61600,8b31837fe289cc27,2022-10-25 13:36:31 CEST,2022-10-25 13:36:31 CEST,2022-10-25 13:46:13 CEST,581.92,77,02/10/1996,1
61602,32E2ADB63F324436A990316971161D9D,2022-10-25 13:55:53 CEST,2022-10-25 13:55:53 CEST,2022-10-25 14:00:54 CEST,300.826,42,25/09/1987,2
61606,D674CE9E29F049DBBFC3D1429A4F7FC3,2022-10-25 14:56:18 CEST,2022-10-25 14:56:18 CEST,2022-10-25 15:00:56 CEST,277.424,61,24/08/1990,2
61608,ff3265995dfd9e6c,2022-10-25 15:21:50 CEST,2022-10-25 15:21:50 CEST,2022-10-25 15:23:52 CEST,121.98,57,30/05/1996,2
61609,98ac54ae2286ae26,2022-10-25 15:43:24 CEST,2022-10-25 15:43:24 CEST,2022-10-25 15:51:15 CEST,470.296,73,03/08/1987,1
61617,56319f85c1e4bcbd,2022-10-25 17:19:38 CEST,2022-10-25 17:19:38 CEST,2022-10-25 17:22:16 CEST,157.85,68,09/02/1988,2
61625,B8187A1D114D42C28C03D843A549DCF0,2022-10-25 19:03:20 CEST,2022-10-25 19:03:20 CEST,2022-10-25 19:06:45 CEST,205.425,52,27/04/1994,1
61632,EE1B1A64B7FF490A8EBC5E9FF54290FD,2022-10-25 22:48:43 CEST,2022-10-25 22:48:43 CEST,2022-10-25 22:50:59 CEST,135.767,58,28/11/1987,2
61650,D025B0BAB7A449EAA51DC98C94281A52,2022-10-26 12:53:30 CEST,2022-10-26 12:53:30 CEST,2022-10-26 12:55:18 CEST,108.136,66,28/07/1995,1
61658,ccf3ff60198a130a,2022-10-26 14:51:54 CEST,2022-10-26 14:51:54 CEST,2022-10-26 14:54:23 CEST,149.254,62,04/11/1992,2
61666,85ACF5443B554BB2B128923631DB9D8B,2022-10-26 17:36:23 CEST,2022-10-26 17:36:23 CEST,2022-10-26 17:39:17 CEST,174.002,58,08/02/1996,2
61671,be1759b0346bb200,2022-10-26 18:54:13 CEST,2022-10-26 18:54:13 CEST,2022-10-26 19:19:11 CEST,1498.161,79,05/06/1990,2
61675,ACC2C11B94CB4760A77C1BDCFA10A302,2022-10-26 20:45:53 CEST,2022-10-26 20:45:53 CEST,2022-10-26 20:51:45 CEST,352.275,56,22/01/1996,2
61688,CF39486464DC494A9A81AEEE6AAC9B10,2022-10-27 09:22:52 CEST,2022-10-27 09:22:52 CEST,2022-10-27 09:35:05 CEST,733.35,368,31/10/1995,2
61697,507D1E1510EB4B8C9FF347BB9514D48F,2022-10-27 13:41:55 CEST,2022-10-27 13:41:55 CEST,2022-10-27 13:45:47 CEST,231.953,56,28/08/1987,1
61700,8b846e5bc6644358,2022-10-27 14:44:13 CEST,2022-10-27 14:44:13 CEST,2022-10-27 14:56:05 CEST,712.181,91,01/06/1995,2
61702,61f554a3e4520d65,2022-10-27 16:11:10 CEST,2022-10-27 16:11:10 CEST,2022-10-27 16:12:46 CEST,96.643,66,07/06/1993,2
61705,b0c6a22519309d50,2022-10-27 16:48:15 CEST,2022-10-27 16:48:15 CEST,2022-10-27 16:55:45 CEST,450.738,78,19/07/1992,2
61722,012cb79273cb001a,2022-10-27 21:01:04 CEST,2022-10-27 21:01:04 CEST,2022-10-27 21:12:13 CEST,669.739,109,07/03/1996,1
62202,75D1D16294304B9CAA349B28CEEE2D90,2022-10-28 07:49:40 CEST,2022-10-28 07:49:40 CEST,2022-10-28 07:51:17 CEST,96.759,51,24/10/1995,2
62203,1f6dae37a6f52a50,2022-10-28 08:46:44 CEST,2022-10-28 08:46:44 CEST,2022-10-28 08:50:17 CEST,213.656,65,04/04/1993,1
62206,e6ccfd96a6cf45aa,2022-10-28 10:11:53 CEST,2022-10-28 10:11:53 CEST,2022-10-28 10:13:54 CEST,121.592,51,09/08/1987,2
62208,46094bd983ff86a1,2022-10-28 10:59:14 CEST,2022-10-28 10:59:14 CEST,2022-10-28 11:01:56 CEST,162.312,110,28/05/1996,2
62209,75351786060be92f,2022-10-28 11:38:57 CEST,2022-10-28 11:38:57 CEST,2022-10-28 11:42:39 CEST,221.513,108,01/08/1991,2
62210,02C1C78301854ACDA6F798AF4E39450C,2022-10-28 12:28:35 CEST,2022-10-28 12:28:35 CEST,2022-10-28 12:29:40 CEST,64.76,48,21/08/1991,2
62211,f4e3c5505152b93d,2022-10-28 13:06:13 CEST,2022-10-28 13:06:13 CEST,2022-10-28 13:09:05 CEST,171.209,62,28/02/1989,2
62214,189ef671535caab0,2022-10-28 15:35:25 CEST,2022-10-28 15:35:25 CEST,2022-10-28 15:40:36 CEST,311.157,84,11/01/1994,1
62219,8f1cb648c9a278bd,2022-10-28 20:14:30 CEST,2022-10-28 20:14:30 CEST,2022-10-28 20:16:12 CEST,101.93,60,21/02/1995,2
62220,067354592df65eff,2022-10-28 20:43:49 CEST,2022-10-28 20:43:49 CEST,2022-10-28 20:45:41 CEST,112.135,53,09/06/1995,2
62221,79542a37b8df1df0,2022-10-28 21:19:06 CEST,2022-10-28 21:19:06 CEST,2022-10-28 21:26:19 CEST,433.557,83,14/10/1993,2
62226,B4F24685D0CC41F8B64D0408031F2973,2022-10-29 09:27:36 CEST,2022-10-29 09:27:36 CEST,2022-10-29 09:30:26 CEST,169.758,87,25/08/1989,2
62235,BC5A4ABA48F64F46B40282A40EE61BEB,2022-10-29 16:48:12 CEST,2022-10-29 16:48:12 CEST,2022-10-29 16:51:18 CEST,185.951,88,28/04/1988,2
62254,CE27A21D03DA403883FF5813FE2157EE,2022-10-29 23:42:49 CEST,2022-10-29 23:42:49 CEST,2022-10-29 23:45:47 CEST,177.839,48,18/05/1991,1
62259,BE2EBE0131F74C5EA06E414828F93CAD,2022-10-30 12:01:22 CET,2022-10-30 12:01:22 CET,2022-10-30 12:15:36 CET,853.499,104,23/09/1988,2
62262,9944A34AA5DD447D88797243B112FE47,2022-10-30 17:28:12 CET,2022-10-30 17:28:12 CET,2022-10-30 17:34:17 CET,365.339,61,12/09/1995,2
62263,04F73ADD0D224EB4899A2B88DE17773E,2022-10-30 17:28:48 CET,2022-10-30 17:28:48 CET,2022-10-30 17:33:54 CET,305.882,62,12/09/1995,2
62265,1241fc9dbada6fca,2022-10-30 18:10:29 CET,2022-10-30 18:10:29 CET,2022-10-30 18:20:32 CET,603.566,90,14/10/1993,2
62273,d64c1b5f7164e16a,2022-10-31 11:06:15 CET,2022-10-31 11:06:15 CET,2022-10-31 11:12:06 CET,351.001,90,25/08/1989,2
62274,3092c267b4243ef2,2022-10-31 10:43:27 GMT,2022-10-31 10:43:27 GMT,2022-10-31 10:45:25 GMT,117.608,58,07/05/1987,2
62275,9A633748DBC147C280AF3BFBFB8D3097,2022-10-31 12:00:29 CET,2022-10-31 12:00:29 CET,2022-10-31 12:04:18 CET,229.215,99,25/07/1996,2
62279,0D715DD248034F66A94E56DB4DC55688,2022-10-31 12:50:27 CET,2022-10-31 12:50:27 CET,2022-10-31 12:52:31 CET,123.284,60,14/08/1983,2
62282,5A1B85A3EBAF4B57A3C0B0867DD67B1A,2022-10-31 13:23:40 CET,2022-10-31 13:23:40 CET,2022-10-31 13:25:07 CET,87.302,46,03/07/1995,2
62283,98ad65259abda973,2022-10-31 13:23:36 CET,2022-10-31 13:23:36 CET,2022-10-31 13:25:35 CET,118.817,59,13/06/1992,1
62284,bfa599b126bcab0d,2022-10-31 13:45:27 CET,2022-10-31 13:45:27 CET,2022-10-31 13:49:39 CET,252.033,74,27/07/1985,2
62288,7A33D7BA665F4815B4B92424C605E667,2022-10-31 14:08:16 CET,2022-10-31 14:08:16 CET,2022-10-31 14:10:13 CET,116.507,75,27/07/1985,2
62312,c4363c4e4090b84f,2022-10-31 17:29:58 CET,2022-10-31 17:29:58 CET,2022-10-31 17:31:58 CET,120.736,76,25/10/1987,2
62316,ca586370212b11fc,2022-10-31 17:16:23 GMT,2022-10-31 17:16:23 GMT,2022-10-31 17:21:32 GMT,308.353,59,05/06/1995,1
62324,88255DE69BD24F08BFD01CB8F060FC28,2022-10-31 18:49:17 CET,2022-10-31 18:49:17 CET,2022-10-31 18:51:09 CET,112.398,40,09/04/1993,2
62329,26cb80f6fd9589ff,2022-10-31 20:01:13 CET,2022-10-31 20:01:13 CET,2022-10-31 20:04:09 CET,175.941,84,06/10/1988,2
62332,27d7fe9ddcf57c99,2022-10-31 20:56:37 CET,2022-10-31 20:56:37 CET,2022-10-31 21:04:09 CET,452.055,92,03/09/1992,1
62333,777431D8E0144580917887275CA38AE9,2022-10-31 21:05:38 CET,2022-10-31 21:05:38 CET,2022-10-31 21:11:35 CET,357.372,63,09/04/1993,2
62335,2DFBD9B29CFF482EBB59BB15696B4BD8,2022-10-31 21:35:28 CET,2022-10-31 21:35:28 CET,2022-10-31 21:37:14 CET,106.323,59,30/08/1989,1
62336,02c3bb4b377ba1d9,2022-10-31 21:40:57 CET,2022-10-31 21:40:57 CET,2022-10-31 21:52:20 CET,683.103,77,04/05/1989,2
62341,c6c538cecaf27857,2022-11-01 07:32:09 CET,2022-11-01 07:32:09 CET,2022-11-01 07:35:24 CET,195.674,128,19/07/1995,2
62342,6F5869FB663D4CA6B8D83B6896897F2C,2022-11-01 07:44:23 CET,2022-11-01 07:44:23 CET,2022-11-01 07:50:05 CET,342.035,58,27/04/1989,2
62343,273dbaf61562f793,2022-11-01 07:45:14 CET,2022-11-01 07:45:14 CET,2022-11-01 07:51:12 CET,357.888,58,31/12/1990,1
62344,6F52701121784FAFBBC75F54351BF6E4,2022-11-01 09:05:40 CET,2022-11-01 09:05:40 CET,2022-11-01 09:09:13 CET,212.52,49,03/09/1992,1
62345,fbe02e90a7c20143,2022-11-01 09:16:30 CET,2022-11-01 09:16:30 CET,2022-11-01 09:43:49 CET,1639.219,84,19/06/1994,2
62346,258991b90df1950a,2022-11-01 10:07:49 CET,2022-11-01 10:07:49 CET,2022-11-01 10:16:49 CET,540.031,59,22/11/1996,2
62349,599D7A6F28FA4D53A0AEE340B615DDD3,2022-11-01 11:15:35 CET,2022-11-01 11:15:35 CET,2022-11-01 11:17:23 CET,108.01,58,02/06/1987,1
62352,0A7F121D35994101ACA1BA5F91E7FC4B,2022-11-01 13:12:36 CET,2022-11-01 13:12:36 CET,2022-11-01 14:16:44 CET,3847.635,49,28/11/1992,2
62359,098BD5956BF6419C8DBF4FEF26E651F4,2022-11-01 15:49:38 CET,2022-11-01 15:49:38 CET,2022-11-01 15:53:37 CET,238.817,52,15/11/1993,1
62364,88533422894B402BBCF4D958D8ABC9E7,2022-11-01 17:15:54 CET,2022-11-01 17:15:54 CET,2022-11-01 17:20:00 CET,245.547,68,10/07/1991,2
62371,525A9262DB824304816578A0E33818B9,2022-11-01 18:10:33 CET,2022-11-01 18:10:33 CET,2022-11-01 18:20:45 CET,612.344,89,19/11/1990,2
62374,a38bde5660a9bbd5,2022-11-01 18:34:40 CET,2022-11-01 18:34:40 CET,2022-11-01 19:02:15 CET,1655.609,54,28/12/1991,2
62377,d11b548b46360c22,2022-11-01 19:46:34 CET,2022-11-01 19:46:34 CET,2022-11-01 19:52:41 CET,367.062,74,16/10/1991,2
62380,f2d7ba4c5edaa39c,2022-11-01 20:14:46 CET,2022-11-01 20:14:46 CET,2022-11-01 20:20:11 CET,325.172,70,02/11/1993,1
62386,5297a2c308b110a7,2022-11-01 21:33:28 CET,2022-11-01 21:33:28 CET,2022-11-01 21:44:11 CET,642.554,53,27/11/1992,1
62463,B8089F22D2694DA2A0963BD5354AAF6A,2022-11-02 01:53:44 CET,2022-11-02 01:53:44 CET,2022-11-02 01:56:22 CET,157.157,61,23/09/1996,2
62467,3B49AE408CB84470AD8041815395F421,2022-11-02 08:24:53 CET,2022-11-02 08:24:53 CET,2022-11-02 08:34:09 CET,556.746,68,11/04/1992,2
62478,FFCAF89D9FED4E7E9AE02E65DFB3C5F5,2022-11-02 12:32:09 CET,2022-11-02 12:32:09 CET,2022-11-02 12:55:33 CET,1403.493,1198,16/05/1988,1
62481,D83B82DDEA7A47418953D2E89E686FEA,2022-11-02 13:46:51 CET,2022-11-02 13:46:51 CET,2022-11-02 13:51:57 CET,306.318,75,08/09/1988,2
62482,9FB200EE7E6D4503B77BF6D00EEE610C,2022-11-02 14:06:25 CET,2022-11-02 14:06:25 CET,2022-11-02 14:09:24 CET,179.25,50,27/04/1989,2
62484,6e6cab41b8f35032,2022-11-02 14:31:42 CET,2022-11-02 14:31:42 CET,2022-11-02 14:33:39 CET,116.567,72,04/11/1992,2
62509,F87413CA3CDE49669A4B4F7A0D519DBD,2022-11-02 19:25:40 CET,2022-11-02 19:25:40 CET,2022-11-02 19:27:49 CET,128.605,57,11/01/1996,2
62511,72860746f89a66e0,2022-11-02 19:30:45 CET,2022-11-02 19:30:45 CET,2022-11-02 19:40:43 CET,598.853,85,06/12/1990,2
62518,4b490b133271a8d8,2022-11-02 21:35:15 CET,2022-11-02 21:35:15 CET,2022-11-02 21:37:46 CET,150.517,47,25/06/1993,1
62532,9f1724b1f2700469,2022-11-03 07:01:37 CET,2022-11-03 07:01:37 CET,2022-11-03 07:03:51 CET,134.339,53,31/03/1987,2
62534,1DE786D2EE314905AA0F5FE083F72DBC,2022-11-03 08:43:49 CET,2022-11-03 08:43:49 CET,2022-11-03 08:47:22 CET,212.564,45,06/06/1989,2
62548,f03bddfe7cdc9e3f,2022-11-03 10:08:36 CET,2022-11-03 10:08:36 CET,2022-11-03 10:10:15 CET,99.537,63,16/02/1993,1
62549,828CB4D43F4B459C9D1424E665071BA2,2022-11-03 10:12:56 CET,2022-11-03 10:12:56 CET,2022-11-03 10:15:57 CET,181.547,41,08/09/1994,2
62550,a51c0e194399d65c,2022-11-03 10:22:04 CET,2022-11-03 10:22:04 CET,2022-11-03 11:07:34 CET,2730.144,43,24/10/1995,2
62558,C07E84CAA6A642B4B11EDE2914C325A1,2022-11-03 12:00:40 CET,2022-11-03 12:00:40 CET,2022-11-03 12:03:42 CET,182.792,84,05/03/1995,2
62562,EDDE9433EBEC43899CA06B7314F90A87,2022-11-03 12:45:30 CET,2022-11-03 12:45:30 CET,2022-11-03 13:26:08 CET,2437.771,956,28/01/1993,2
62564,e483c476eae94ec8,2022-11-03 13:14:52 CET,2022-11-03 13:14:52 CET,2022-11-03 13:18:37 CET,224.794,40,03/11/2022,2
62565,7bf40e5d77d4a312,2022-11-03 13:14:59 CET,2022-11-03 13:14:59 CET,2022-11-03 13:19:44 CET,284.955,46,22/10/1990,2
62567,F1E6F2FF228F490BAE8804133C873EC6,2022-11-03 13:35:45 CET,2022-11-03 13:35:45 CET,2022-11-03 13:52:16 CET,991.074,68,29/08/1988,2
62579,7f85a97d14b36447,2022-11-03 18:09:14 CET,2022-11-03 18:09:14 CET,2022-11-03 18:11:02 CET,108.201,57,27/04/1992,1
62586,860C1552B74C4EB793F660D985015615,2022-11-03 18:56:29 CET,2022-11-03 18:56:29 CET,2022-11-03 19:00:55 CET,265.911,74,16/10/1991,2
62593,691489CF0D2647D690F25A4B55C84626,2022-11-03 19:58:54 CET,2022-11-03 19:58:54 CET,2022-11-03 20:09:01 CET,606.331,407,06/02/1996,2
